GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
shopease,com.thecodereveal.shopease.controllers,FileUpload,0,19,0,2,0,3,0,3,0,2
shopease,com.thecodereveal.shopease.controllers,AddressController,0,24,0,0,0,5,0,3,0,3
shopease,com.thecodereveal.shopease.controllers,ProductController,0,75,0,2,0,17,0,6,0,5
shopease,com.thecodereveal.shopease.controllers,OrderController,0,55,0,0,0,9,0,5,0,5
shopease,com.thecodereveal.shopease.controllers,CategoryController,0,60,0,0,0,12,0,6,0,6
shopease,com.thecodereveal.shopease.specification,ProductSpecification,3,24,0,0,1,2,1,4,1,4
shopease,com.thecodereveal.shopease.config,SwaggerConfig,0,23,0,0,0,6,0,2,0,2
shopease,com.thecodereveal.shopease.entities,OrderStatus,0,33,0,0,0,6,0,1,0,1
shopease,com.thecodereveal.shopease.entities,Product,6,10,0,0,2,3,1,1,1,1
shopease,com.thecodereveal.shopease.entities,PaymentStatus,0,21,0,0,0,4,0,1,0,1
shopease,com.thecodereveal.shopease,ShopeaseApplication,5,128,0,0,2,11,1,3,1,3
shopease,com.thecodereveal.shopease.services,OrderService,5,324,2,8,1,87,2,13,0,10
shopease,com.thecodereveal.shopease.services,CategoryService,0,218,0,12,0,54,0,18,0,12
shopease,com.thecodereveal.shopease.services,PaymentIntentService,0,57,0,0,0,16,0,2,0,2
shopease,com.thecodereveal.shopease.services,ProductServiceImpl,0,165,0,6,0,30,0,12,0,9
shopease,com.thecodereveal.shopease.services,FileUploadService,0,76,0,2,0,19,0,3,0,2
shopease,com.thecodereveal.shopease.services,AddressService,0,44,0,0,0,14,0,3,0,3
shopease,com.thecodereveal.shopease.auth.exceptions,RESTAuthenticationEntryPoint,8,0,0,0,3,0,2,0,2,0
shopease,com.thecodereveal.shopease.exceptions,ResourceNotFoundEx,5,4,0,0,2,2,1,1,1,1
shopease,com.thecodereveal.shopease.mapper,ProductMapper,0,277,0,12,0,70,0,20,0,14
shopease,com.thecodereveal.shopease.auth.helper,VerificationCodeGenerator,3,13,0,0,1,3,1,1,1,1
shopease,com.thecodereveal.shopease.auth.config,JWTAuthenticationFilter,0,82,2,8,0,22,2,5,0,2
shopease,com.thecodereveal.shopease.auth.config,JWTTokenHelper,3,133,2,8,2,41,2,14,0,11
shopease,com.thecodereveal.shopease.auth.config,WebSecurityConfig,0,118,0,0,0,17,0,9,0,9
shopease,com.thecodereveal.shopease.auth.services,CustomUserDetailService,0,19,0,2,0,5,0,3,0,2
shopease,com.thecodereveal.shopease.auth.services,AuthorityService,0,31,0,0,0,7,0,3,0,3
shopease,com.thecodereveal.shopease.auth.services,EmailService,0,54,0,0,0,18,0,2,0,2
shopease,com.thecodereveal.shopease.auth.services,RegistrationService,13,89,0,2,3,27,0,4,0,3
shopease,com.thecodereveal.shopease.auth.services,OAuth2Service,0,46,0,0,0,14,0,3,0,3
shopease,com.thecodereveal.shopease.auth.controller,UserDetailController,0,49,0,2,0,13,0,3,0,2
shopease,com.thecodereveal.shopease.auth.controller,AuthController,6,107,2,8,2,23,2,7,0,4
shopease,com.thecodereveal.shopease.auth.controller,OAuth2Controller,0,33,0,2,0,8,0,3,0,2
shopease,com.thecodereveal.shopease.auth.entities,User,0,9,0,0,0,3,0,3,0,3
shopease,com.thecodereveal.shopease.auth.entities,Authority,0,3,0,0,0,1,0,1,0,1
